permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
MP,Mechanical Permit,2015-117967 MP,Residential,R- 101 Single Family Houses,New,No,1700 PEASE RD,New primary residence 3 bedrooms 3.5 bath. No visitable route needed.,0112020303,N 58FT OF LOT 51 LOT 52 ENFIELD C,2015-06-29T00:00:00.000,2015-12-09T00:00:00.000,WEDNESDAY,2015,2016,No,Permit Center,Final,2017-04-11T00:00:00.000,2017-04-11T00:00:00.000,2017-04-11T00:00:00.000,,2,1,1700 PEASE RD,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11423908'},11423908,,,,No,,,,,,,11423589,,3603,,
BP,Building Permit,2015-152192 BP,Residential,R- 101 Single Family Houses,New,No,12504 RIVER BND,"new 4 bedroom 3.5 bathroom two story sfr

**Revision to drop the garage floor level fire separation between garage and residence and modify Visitability No-step Entrance and Exterior Visitability Route through ramps at main entrance**",0127550516,LOT 17 BLK H RIVER RIDGE,2015-11-18T00:00:00.000,2016-01-06T00:00:00.000,WEDNESDAY,2016,2016,No,Permit Center,Final,2017-09-26T00:00:00.000,2017-09-26T00:00:00.000,2017-09-26T00:00:00.000,,2,1,12504 RIVER BND,AUSTIN,TX,78732,10,AUSTIN LTD,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11463692'},11463692,30.32920388,-97.92182492,"{'latitude': '30.32920388', 'longitude': '-97.92182492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,450000,,,,,11447719,,3850,12474,
PP,Plumbing Permit,2015-152881 PP,Residential,R- 435 Renovations/Remodel,Remodel,No,4805 PRAIRIE DUNES DR,Remove old shower stall shower valve and surround.  Replace with new shower base shower valve and acrylic surround.  Remove old tub.  Replace with new safety walk-in tub.,0443070330,LOT 99 BLK A ONION CREEK ADDN,2015-12-28T00:00:00.000,2016-01-05T00:00:00.000,TUESDAY,2016,2016,No,Permit Center,Final,2016-01-21T00:00:00.000,2016-01-21T00:00:00.000,2016-01-21T00:00:00.000,350,1,1,4805 PRAIRIE DUNES DR,AUSTIN,TX,78747,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11464557'},11464557,30.13940602,-97.78023574,"{'latitude': '30.13940602', 'longitude': '-97.78023574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,2950,11464554,,,,
EP,Electrical Permit,2015-147662 EP,Residential,R- 101 Single Family Houses,New,No,2112 E 8TH ST,**SMART HOUSE** **NOT VOLUME BUILDER** New construction of a 1-story SFR; 3 bedroom 2 bathroom covd front porch.  SMART visitability exterior route waiver granted.,0205101012,LOT 12 BLK 22 GRANDVIEW PLACE,2015-09-23T00:00:00.000,2016-01-05T00:00:00.000,TUESDAY,2016,2016,No,Permit Center,Final,2016-07-08T00:00:00.000,2016-07-08T00:00:00.000,2016-07-08T00:00:00.000,,1,1,2112 E 8TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11458207'},11458207,30.26281748,-97.7181899,"{'latitude': '30.26281748', 'longitude': '-97.7181899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,11458201,,1497,,
EP,Electrical Permit,2015-117967 EP,Residential,R- 101 Single Family Houses,New,No,1700 PEASE RD,New primary residence 3 bedrooms 3.5 bath. No visitable route needed.,0112020303,N 58FT OF LOT 51 LOT 52 ENFIELD C,2015-06-29T00:00:00.000,2015-11-13T00:00:00.000,FRIDAY,2015,2016,No,Permit Center,Final,2017-03-23T00:00:00.000,2017-03-23T00:00:00.000,2017-03-23T00:00:00.000,,2,1,1700 PEASE RD,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11423907'},11423907,,,,No,,,,,,,11423589,,3603,,
BP,Building Permit,2015-135832 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3705 HILLBROOK DR,Interior remodel.  Partial demolition.  Update existing kitchen master bath and bath 2.  Reconfigure bedroom 4 and remove spiral staircase.  Add ADA accessible bath and elevator to access existing game room.  Reconfigure game room and bath4 to allow for elevator.  New exterior windows and doors.  Add a half bath.  New HVAC - will clear expired EP for A/C unit change out 1991-007498EP.  Install all new dutcs and HVAC system.,0135040115,LOT 1 HIGHLAND HILLS SEC 6 PHS 1,2015-09-21T00:00:00.000,2015-11-19T00:00:00.000,THURSDAY,2015,2016,No,Permit Center,Final,2016-08-11T00:00:00.000,2016-08-11T00:00:00.000,2016-08-11T00:00:00.000,,2,1,3705 HILLBROOK DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11444266'},11444266,30.34452355,-97.76204369,"{'latitude': '30.34452355', 'longitude': '-97.76204369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,104200,140200,48300,22750,16150,17000,11418570,,0,0,
BP,Building Permit,2015-131458 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1900 E 16TH ST,Construct wheel chair ramp.,0209091313,S 88.67 OF LOT 10 BLK 3 OLT 35 DIV B CROWS SUBD,2015-10-30T00:00:00.000,2015-11-06T00:00:00.000,FRIDAY,2015,2016,No,Permit Center,Expired,2016-05-05T00:00:00.000,2016-05-04T00:00:00.000,,0,1,1,1900 E 16TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11439287'},11439287,,,,No,3000,3000,3000,0,0,0,11439285,,,,
EP,Electrical Permit,2015-041997 EP,Residential,R- 101 Single Family Houses,New,No,813 RUTHERFORD PL,New 3-story single family residence to have (3) bedrooms (2.5) bathrooms attached 1-car garage rear ground level covered patio 2nd level entry with screened porch in back 3rd floor front balcony and a rear balcony off the Master Bedroom. Existing outbuilding (121 SF) to remain.,0301020214,LOT 2 BLK 2 TRAVIS HEIGHTS,2015-02-27T00:00:00.000,2015-11-23T00:00:00.000,MONDAY,2015,2016,No,Online,Final,2017-03-14T00:00:00.000,2017-03-14T00:00:00.000,2017-03-14T00:00:00.000,,3,1,813 RUTHERFORD PL,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11328799'},11328799,30.24936422,-97.7404509,"{'latitude': '30.24936422', 'longitude': '-97.7404509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,11328788,,4078,,
PP,Plumbing Permit,2015-041997 PP,Residential,R- 101 Single Family Houses,New,No,813 RUTHERFORD PL,New 3-story single family residence to have (3) bedrooms (2.5) bathrooms attached 1-car garage rear ground level covered patio 2nd level entry with screened porch in back 3rd floor front balcony and a rear balcony off the Master Bedroom. Existing outbuilding (121 SF) to remain.,0301020214,LOT 2 BLK 2 TRAVIS HEIGHTS,2015-02-27T00:00:00.000,2015-12-02T00:00:00.000,WEDNESDAY,2015,2016,No,Online,Final,2017-04-19T00:00:00.000,2017-04-19T00:00:00.000,2017-04-19T00:00:00.000,,3,1,813 RUTHERFORD PL,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11328801'},11328801,30.24936422,-97.7404509,"{'latitude': '30.24936422', 'longitude': '-97.7404509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,11328788,,4078,,
PP,Plumbing Permit,2015-117967 PP,Residential,R- 101 Single Family Houses,New,No,1700 PEASE RD,New primary residence 3 bedrooms 3.5 bath. No visitable route needed.,0112020303,N 58FT OF LOT 51 LOT 52 ENFIELD C,2015-06-29T00:00:00.000,2015-12-03T00:00:00.000,THURSDAY,2015,2016,No,Online,Final,2017-04-20T00:00:00.000,2017-04-20T00:00:00.000,2017-04-20T00:00:00.000,,2,1,1700 PEASE RD,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11423909'},11423909,,,,No,,,,,,,11423589,,3603,,
PP,Plumbing Permit,2013-123314 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7605 CAMERON RD,Partial demo of rear wall of structure & rear half of roof Increasing size of structure and adding outdoor covered porch remodeling bedrm and bathrms adding stairs to exterior of structure. ***REVISION #1 (submitted 1/12/2015) - (combining permit #2013-091575BP) -repair existing hand rail and stairs to existing legal non conforming single family residence and existing  electrical and plumbing must be to building code requirements.***,0229200103,LOT 1 BLK A PECAN CREEK,2013-10-21T00:00:00.000,2015-11-30T00:00:00.000,MONDAY,2015,2016,No,Permit Center,Final,2018-11-29T00:00:00.000,2018-11-29T00:00:00.000,2018-11-29T00:00:00.000,,1,1,7605 CAMERON RD,AUSTIN,TX,78752,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11055060'},11055060,,,,No,,,,,,7000,11055054,2525,1649,,
EP,Electrical Permit,2013-123314 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7605 CAMERON RD,Partial demo of rear wall of structure & rear half of roof Increasing size of structure and adding outdoor covered porch remodeling bedrm and bathrms adding stairs to exterior of structure.  ***REVISION #1 (submitted 1/12/2015) - (combining permit #2013-091575BP) -repair existing hand rail and stairs to existing legal non conforming single family residence and existing  electrical and plumbing must be to building code requirements.***,0229200103,LOT 1 BLK A PECAN CREEK,2013-10-21T00:00:00.000,2015-10-20T00:00:00.000,TUESDAY,2015,2016,No,Permit Center,Final,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,,1,1,7605 CAMERON RD,AUSTIN,TX,78752,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11055057'},11055057,,,,No,,,,1000,,,11055054,2525,1649,,
PP,Plumbing Permit,2015-113013 PP,Residential,R- 435 Renovations/Remodel,Repair,No,708 LANDON LN,Repair/replace siding and windows.  Replace sheetrock as needed.  Bathroom remodel to include replace toilets tub and fixtures.  Upgrade electrical plugs.  Replace rotted wood and handrail on existing porch.,0216070118,LOT 18 * PLUS 1/2 ADJ VAC ALY OLT 7 DIV C COUNTRY CLUB LAWNS,2015-09-18T00:00:00.000,2015-10-28T00:00:00.000,WEDNESDAY,2015,2016,No,Online,Final,2016-01-15T00:00:00.000,2016-01-15T00:00:00.000,2016-01-15T00:00:00.000,0,1,1,708 LANDON LN,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11417850'},11417850,30.29409488,-97.72942097,"{'latitude': '30.29409488', 'longitude': '-97.72942097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,1750,11417846,,,,
BP,Building Permit,2015-120020 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1512 W KOENIG LN,Interior remodel.  Bathroom fixtures replaced and kitchen sink.  No fixtures were added or relocated they were just replaced.  Closets were demod and some sheetrock repair.  Landings & stairs were removed on exterior and 1 < 1:12 slope ramp was constructed  new front stairs. Removel of unpermitted ramp in the required front setback.,0230050530,E50.8FT OF LOT 22 *& W9.2FT OF LOT 23 BLK X VIOLET CROWN HEIGHTS SEC 2 RESUB,2015-07-20T00:00:00.000,2015-10-05T00:00:00.000,MONDAY,2015,2016,No,Permit Center,Final,2015-10-20T00:00:00.000,2015-10-20T00:00:00.000,2015-10-20T00:00:00.000,,1,1,1512 W KOENIG LN,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11425877'},11425877,30.33209932,-97.73362678,"{'latitude': '30.33209932', 'longitude': '-97.73362678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,7000,10000,7000,0,0,0,11387908,,125,0,
BP,Building Permit,2015-127095 BP,Residential,R- 437 Residential Boat Dock,New,No,2908 SCENIC DR BLDG TRAM,Removal of existing stairs and the construction of an approximately fifty-five (55) linear foot-long motorized tram to tie into an existing ramp via an elevated sidewalk as per the approved plans.,0121060513,LOT 11 BLK D BROWN HERMAN ADDN NO 2 SEC 4,2015-10-20T00:00:00.000,2015-10-20T00:00:00.000,TUESDAY,2015,2016,No,Permit Center,Final,2015-10-21T00:00:00.000,2015-10-21T00:00:00.000,2015-10-21T00:00:00.000,,,,2908 SCENIC DR BLDG TRAM,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11434169'},11434169,30.31037949,-97.77076409,"{'latitude': '30.31037949', 'longitude': '-97.77076409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,40000,,,,,,,220,,
PP,Plumbing Permit,2015-121804 PP,Residential,Residential,Repair,No,1512 W KOENIG LN,Interior remodel.  Bathroom fixtures replaced and kitchen sink.  No fixtures were added or relocated they were just replaced.  Closets were demod and some sheetrock repair.  Landings & stairs were removed on exterior and 1 < 1:12 slope ramp was constructed  new front stairs. Removel of unpermitted ramp in the required front setback.,0230050530,E50.8FT OF LOT 22 *& W9.2FT OF LOT 23 BLK X VIOLET CROWN HEIGHTS SEC 2 RESUB,2015-07-20T00:00:00.000,2015-10-07T00:00:00.000,WEDNESDAY,2015,2016,No,Permit Center,Final,2015-10-20T00:00:00.000,2015-10-20T00:00:00.000,2015-10-20T00:00:00.000,0,1,1,1512 W KOENIG LN,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11427982'},11427982,30.33209932,-97.73362678,"{'latitude': '30.33209932', 'longitude': '-97.73362678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,800,11425877,,,,
BP,Building Permit,2015-116501 BP,Residential,R- 435 Renovations/Remodel,Repair,No,405 TILBURY LN,Change out bathtub for handicap walk-in shower.  Repair roof on existing sf residence.,0414050609,LOT 4 BLK M GREENWOOD HILLS SEC 4,2015-09-25T00:00:00.000,2015-09-25T00:00:00.000,FRIDAY,2015,2015,No,Permit Center,Final,2015-11-05T00:00:00.000,2015-11-05T00:00:00.000,2015-11-05T00:00:00.000,0,1,1,405 TILBURY LN,AUSTIN,TX,78745,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11421893'},11421893,30.20961034,-97.76622058,"{'latitude': '30.20961034', 'longitude': '-97.76622058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,7450,7450,7450,0,0,0,11421887,,,,
PP,Plumbing Permit,2015-044982 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3921 GREYSTONE DR,**Partial demolition** Addition of wheelchair accessible bdrm bthrm and exterior door to back yard w/ wheel chair ramp. Remodel of exising laundry room to the garage to maximize space to accomodate wheel chair  from garage to house. Install new water heater (gas).,0141030506,LOT 8 BLK B NORTHWEST HILLS MESA OAKS PHS 4,2015-04-03T00:00:00.000,2015-10-06T00:00:00.000,TUESDAY,2015,2016,No,Permit Center,Final,2016-04-04T00:00:00.000,2016-04-04T00:00:00.000,2016-04-04T00:00:00.000,,1,1,3921 GREYSTONE DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11334086'},11334086,30.36216824,-97.7601873,"{'latitude': '30.36216824', 'longitude': '-97.7601873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,2688,11334062,2737,309,,
BP,Building Permit,2015-114830 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,903 W MARY ST,Interior finish out to 2nd floor addtion. retroactive permit for balcony covered deck front porch bath remodel and stair handrail.,0400041706,LOT 2 BLK N BOULDIN JAMES E ADDN,2015-05-13T00:00:00.000,2015-10-08T00:00:00.000,THURSDAY,2015,2016,No,Permit Center,Final,2016-04-06T00:00:00.000,2016-04-06T00:00:00.000,2016-04-06T00:00:00.000,,2,1,903 W MARY ST,AUSTIN,TX,78704,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11419865'},11419865,30.24778402,-97.76111288,"{'latitude': '30.24778402', 'longitude': '-97.76111288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,10000,20000,5000,5000,0,0,11349474,,300,7725,
BP,Building Permit,2015-117967 BP,Residential,R- 101 Single Family Houses,New,No,1700 PEASE RD,New primary residence 3 bedrooms 3.5 bath. No visitable route needed.,0112020303,N 58FT OF LOT 51 LOT 52 ENFIELD C,2015-06-29T00:00:00.000,2015-10-02T00:00:00.000,FRIDAY,2015,2016,No,Permit Center,Final,2017-04-25T00:00:00.000,2017-04-25T00:00:00.000,2017-04-25T00:00:00.000,,2,1,1700 PEASE RD,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11423589'},11423589,,,,Yes,,500000,,,,,11377561,,3603,15110,
EP,Electrical Permit,2015-113013 EP,Residential,R- 435 Renovations/Remodel,Repair,No,708 LANDON LN,Repair/replace siding and windows.  Replace sheetrock as needed.  Bathroom remodel to include replace toilets tub and fixtures.  Upgrade electrical plugs.  Replace rotted wood and handrail on existing porch.,0216070118,LOT 18 * PLUS 1/2 ADJ VAC ALY OLT 7 DIV C COUNTRY CLUB LAWNS,2015-09-18T00:00:00.000,2015-09-25T00:00:00.000,FRIDAY,2015,2015,No,Permit Center,Final,2016-01-13T00:00:00.000,2016-01-13T00:00:00.000,2016-01-13T00:00:00.000,0,1,1,708 LANDON LN,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11417847'},11417847,30.29409488,-97.72942097,"{'latitude': '30.29409488', 'longitude': '-97.72942097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,750,,,11417846,,,,
BP,Building Permit,2015-097932 BP,Residential,R- 101 Single Family Houses,New,No,1204 E 13TH ST,New 2-story single family residence with exempt habitable attic to have (3) bedrooms (2.5) bathrooms covered front porch screened side porch & adjacent covered patio with covered roof deck above and spiral staircase to the attic level deck that is not accessible from the attic rear screened porch with covered deck above and an attached 1-car garage.,0209071501,,2015-05-08T00:00:00.000,2015-08-26T00:00:00.000,WEDNESDAY,2015,2015,No,Permit Center,Final,2016-09-27T00:00:00.000,2016-09-27T00:00:00.000,2016-09-27T00:00:00.000,,2,1,1204 E 13TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11400556'},11400556,30.27381967,-97.72754379,"{'latitude': '30.27381967', 'longitude': '-97.72754379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,175000,,,,,11347119,,2910,6507,
BP,Building Permit,2015-102746 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,2711 SCENIC DR,Interior remodel.  New tile and plumbing fixtures in bathrooms.  No additional plumbing fixtures to be added.  New cabinets throughout the house.  New interior doors at specific locations.  New accessible ramp from garage to kitchen.  General accessibility upgrades throughout the house.  New paint.  New front door.  New fireplace surrounds and hearths both to meet current code requirements.  Infill of current openings.  Non-structural minor framing adjustments.,0121060220,LOT 1 SCENIC HILLS ESTATES,2015-08-19T00:00:00.000,2015-08-27T00:00:00.000,THURSDAY,2015,2015,No,Permit Center,Final,2016-08-09T00:00:00.000,2016-08-09T00:00:00.000,2016-08-09T00:00:00.000,,2,1,2711 SCENIC DR,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11405913'},11405913,30.30804035,-97.77427497,"{'latitude': '30.30804035', 'longitude': '-97.77427497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,100000,60000,45000,15000,17000,23000,11403326,,0,0,
EP,Electrical Permit,2015-095330 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7601 PARKVIEW CIR,Interior Remodel.  Remove and replace flooring in Kitchen Utility 1/2 Bath Living Dining and Family rooms.  Remove dropped ceiling in Kitchen.  New cabinets in Kitchen.  Widen doorway between Kitchen and Dining.  Remove part of wall between Kitchen and Family room.  Update and add lighting in Kitchen and Family room.  Extend gas line to Kitchen for gas stove.  New fixtures in 1/2 Bath.  Repair ceiling in Family room.  Framing per Engineers letter.,0143061124,LOT 13 BLK K VISTA WEST II,2015-06-05T00:00:00.000,2015-09-21T00:00:00.000,MONDAY,2015,2015,No,Permit Center,Final,2015-11-16T00:00:00.000,2015-11-16T00:00:00.000,2015-11-16T00:00:00.000,,1,1,7601 PARKVIEW CIR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11397534'},11397534,30.36995238,-97.77038646,"{'latitude': '30.36995238', 'longitude': '-97.77038646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,3000,,,11397533,0,0,,
BP,Building Permit,2015-106830 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1505 WEST LYNN ST,Partial Demolition and Remodel Repair: replacing/repairing front porch.  During foundation repair the entrance hall and front columns had to be removed.  Buildingit back as it was adding handrails to the stairs replacing the columns.  Replace rotted siding paint exterior.  Not changing the footprint of the hourse or adding square footage.,0112020607,LOT 39 OLT 7&8 DIV Z ENFIELD B,2015-08-19T00:00:00.000,2015-09-04T00:00:00.000,FRIDAY,2015,2015,No,Permit Center,Final,2015-11-05T00:00:00.000,2015-11-05T00:00:00.000,2015-11-05T00:00:00.000,,2,1,1505 WEST LYNN ST,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11410663'},11410663,30.2834001,-97.75738457,"{'latitude': '30.2834001', 'longitude': '-97.75738457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,15000,15000,15000,0,0,0,11403374,,0,0,
BP,Building Permit,2015-109026 BP,Residential,R- 435 Renovations/Remodel,Repair,No,5701 JOHNNY MORRIS RD UNIT 189,Wheelchair ramp for existing residence,0217300201,ABS 4 SUR 19 BURLESON J ACR 40.0000,2015-09-09T00:00:00.000,2015-09-09T00:00:00.000,WEDNESDAY,2015,2015,No,Permit Center,Final,2015-11-16T00:00:00.000,2015-11-16T00:00:00.000,2015-11-16T00:00:00.000,0,1,1,5701 JOHNNY MORRIS RD UNIT 189,AUSTIN,TX,78724,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11413170'},11413170,30.29222184,-97.65192067,"{'latitude': '30.29222184', 'longitude': '-97.65192067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,2725,2725,2725,0,0,0,11413167,,,,
BP,Building Permit,2015-113013 BP,Residential,R- 435 Renovations/Remodel,Repair,No,708 LANDON LN,Repair/replace siding and windows.  Replace sheetrock as needed.  Bathroom remodel to include replace toilets tub and fixtures.  Upgrade electrical plugs.  Replace rotted wood and handrail on existing porch.,0216070118,LOT 18 * PLUS 1/2 ADJ VAC ALY OLT 7 DIV C COUNTRY CLUB LAWNS,2015-09-18T00:00:00.000,2015-09-18T00:00:00.000,FRIDAY,2015,2015,No,Permit Center,Final,2016-01-15T00:00:00.000,2016-01-15T00:00:00.000,2016-01-15T00:00:00.000,0,1,1,708 LANDON LN,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11417846'},11417846,30.29409488,-97.72942097,"{'latitude': '30.29409488', 'longitude': '-97.72942097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,7850,7850,5350,750,0,1750,11417835,,,,
PP,Plumbing Permit,2015-095330 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,7601 PARKVIEW CIR,Interior Remodel.  Remove and replace flooring in Kitchen Utility 1/2 Bath Living Dining and Family rooms.  Remove dropped ceiling in Kitchen.  New cabinets in Kitchen.  Widen doorway between Kitchen and Dining.  Remove part of wall between Kitchen and Family room.  Update and add lighting in Kitchen and Family room.  Extend gas line to Kitchen for gas stove.  New fixtures in 1/2 Bath.  Repair ceiling in Family room.  Framing per Engineers letter.,0143061124,LOT 13 BLK K VISTA WEST II,2015-06-05T00:00:00.000,2015-09-22T00:00:00.000,TUESDAY,2015,2015,No,Online,Final,2015-12-16T00:00:00.000,2015-12-16T00:00:00.000,2015-12-16T00:00:00.000,,1,1,7601 PARKVIEW CIR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11397535'},11397535,30.36995238,-97.77038646,"{'latitude': '30.36995238', 'longitude': '-97.77038646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,890,11397533,,0,,
EP,Electrical Permit,2015-097932 EP,Residential,R- 101 Single Family Houses,New,No,1204 E 13TH ST,New 2-story single family residence with exempt habitable attic to have (3) bedrooms (2.5) bathrooms covered front porch screened side porch & adjacent covered patio with covered roof deck above and spiral staircase to the attic level deck that is not accessible from the attic rear screened porch with covered deck above and an attached 1-car garage.,0209071501,,2015-05-08T00:00:00.000,2015-09-09T00:00:00.000,WEDNESDAY,2015,2015,No,Permit Center,Final,2016-07-18T00:00:00.000,2016-07-18T00:00:00.000,2016-07-18T00:00:00.000,,2,1,1204 E 13TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11400560'},11400560,30.27381967,-97.72754379,"{'latitude': '30.27381967', 'longitude': '-97.72754379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,11400556,,2910,,
