permitnumber,permitnumbercreateddate,issuedate,permitelapseddays,projectvalue,typeofwork,address,projectdescription,permitcategory,propertyuse,specificusecategory,issueyear,geolocalarea,geom,yearmonth,geo_point_2d,latitude,longitude
BP-2022-04628,2022-10-04,2022-12-15,72,30000.0,Addition / Alteration,"2061 W 4TH AVENUE, Vancouver, BC V6J 1N3","Field Review - Addition / Alteration - 2061 W 4th Avenue - First Storey Level

Interior alterations and a change of use from Restaurant - Class 1 to Retail Store ""Shell"" including new accessible washroom on the First Storey Level at this existing mixed-use commercial and residential building.

Scope of work: remove partition walls, doors, washrooms, kitchen equipment, fixtures and finishes. New work to include: new accessible water closet, new lunch room, electrical, plumbing and gas work.

OK for Field Review as per Scott Easby, October 4, 2022.

Building Not Sprinklered - No sprinkler inspection or sprinkler permit is required.

E2 - Lighting - Upgrade to incorporate Automatic Full OFF (per 9.4.1.1(h) of ASHRAE 90.1-2016)

Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Retail Uses'],['Retail Store'],2022,Kitsilano,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1518317, 49.2683767], 'type': 'Point'}, 'properties': {}}",2022-12,"{'lon': -123.1518317, 'lat': 49.2683767}",49.2683767,-123.1518317
BP-2018-04290,2018-08-09,2018-08-29,20,450000.0,Addition / Alteration,"575 W 8TH AVENUE, Vancouver, BC","Field Review - Addition / Alteration - #600 - 6th floor (full floor)

Interior alterations to demolish all partition walls and reconfigure the layout of this office unit on the 6th floor (#600) for new general office tenant in this existing commercial building.

Scope of work:  demolish/construct partition walls/doors, finishes, new accessible washroom, lighting, rcp, electrical, plumbing mechanical and sprinkler work

TENANT: City of Vancouver

Letters of Assurance submitted by:
Schedule A, Tony Yip AIBC, ph: 604-669-9460
Architectural Schedule B, Tony Yip, AIBC, ph: 604-669-9460
Mechanical, Plumbing and Fire Suppression Systems Schedule B, James Y.P. Lee, P. Eng., ph: 604-689-1915
Electrical Schedule B, Michael Ablang, P. Eng., ph: 604-689-1915 

Ok for field review per L Clarke Aug 10, 2018

Energy upgrade:
L2 - Lighting - Upgrade to incorporate Automatic Lighting Shutoff (per 9.4.1.1 of ASHRAE 90.1 - 2010)

(reference SAP#740005481)

*** This permit has been revised October 3, 2018 for the change in engineering services.   Mr. James Lee, P.Eng. will no longer be providing engineering services for Fire Suppression System and will only be providing engineering services for Mechanical, and Plumbing.***",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2018,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1169686, 49.2642022], 'type': 'Point'}, 'properties': {}}",2018-08,"{'lon': -123.1169686, 'lat': 49.2642022}",49.2642022,-123.1169686
BP-2019-02517,2019-06-07,2019-08-16,70,35400.0,Addition / Alteration,"30 E 10TH AVENUE, Vancouver, BC V5T 4C8","High Density Housing / Commercial - Addition / Alteration - Interior alterations to upgrade existing fire alarm system and to re-program existing elevator #1 & #2 for recall function in this existing 10-storey residential building for CSA-B44 upgrade.     

Scope of work:
- Replace existing single-stage addressable FACP to new and retrofit existing FAAP with new FAAP. 
- Upgrade existing FAS zones and initiation devices to addressable type and to allow for elevator recall.
- Replace elevator motor fused disconnects, 6 existing fixtures to new LED's c/w with wire cages and 3 existing receptacles to new GFCI type receptacles in elevator machine room & pit.
- Install 5 new addressable relays in elevator machine room to allow for elevator recall. 
- Replace existing devices in elevator machine room and elevator shaft to addressable smoke detectors. 
- New telephone line to elevator machine room. 
- Automatic emergency recall (main - ground floor, alternate - 2rd floor)
- Programming of Elevator Recall and FEO functions.

Building Review Branch Notes:
- Replacement of door hardware (without fob/key access) shall not compromise existing fire separation between main floor elevator lobby and parkade level subject to District Building Inspector's satisfaction. 
- Schedule B (Arch. & Elec.) schedule B submitted by S. J. P. Jacob, P.Eng.
- Main recall level is the main floor. Exit signage shall be posted along the egress route.",,['Dwelling Uses'],['Multiple Dwelling'],2019,Mount Pleasant,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1036746, 49.2617986], 'type': 'Point'}, 'properties': {}}",2019-08,"{'lon': -123.1036746, 'lat': 49.2617986}",49.2617986,-123.1036746
BP-2020-03680,2020-11-23,2021-01-13,51,50000.0,Addition / Alteration,"605 ROBSON STREET, Vancouver, BC V6B 5J3","Field Review - Addition / Alteration - Interior alterations to convert the second floor common area (bathrooms and exercise room) to End of Trip Facilities for the use of the building tenants, consisting of men's and women's bathrooms, shower stalls, lockers and one universal/accessible bathroom/shower stall in this existing mixed use building on this site. 

Scope of work includes: Interior demolition of walls, doors, ceiling, flooring, sprinklers, HVAC, millwork, plumbing fixtures, lighting and all finishes;  Install new walls, doors, plumbing fixtures (toilets, showers, sinks, dryers), sprinklers, HVAC, new floors, ceiling, millwork, lighting and finishes. 

Note:  one (1) universal/accessible washroom with shower stall provided - approved by P. Weber Sept 15, 2020.

OK For Field Review per P. Weber & A. Campbell - Nov 23, 2020. 

Notes:  
~ Energy Upgrade: E2 - Lighting - Upgrade to incorporate Automatic Full OFF (per 9.4.1.1.(h) of ASHRAE 90.1-2016)
~ Schedule A CRP and Schedule B Architectural submitted by Kori Chan, AIBC of Proscenium Architecture + Interiors Inc., Tel: 604 879-0118.
~ Schedule B Mechanical & Plumbing submitted by Bassam M. Yammine, P. Eng. of Flow Consulting Group Inc., Tel: 604 609-0500.
~ Schedule B Electrical submitted by P. L. Leung, P. Eng. of Flow Consulting Group Inc., Tel: 604 609-0500.
~ Building Sprinklered – a separate sprinkler permit is required.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['Not Applicable'],2021,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1188232, 49.2811014], 'type': 'Point'}, 'properties': {}}",2021-01,"{'lon': -123.1188232, 'lat': 49.2811014}",49.2811014,-123.1188232
BP-2017-06566,2017-12-18,2018-02-21,65,16600.0,Addition / Alteration,"1550 W 15TH AVENUE, Vancouver, BC V6J 2K6","High Density Housing / Commercial - Addition / Alteration - Elevator Upgrade - 
Interior alterations to provide elevator upgrades to one (1) elevator at the existing 13-storey multiple dwelling building on this site for CSA-B44-07 upgrade. 

Scope of work: 
- Replacement of existing heat detector at top of elevator shaft to smoke detector.
- Upgrading existing circuits to addressable as required for elevator recall purposes.
- Adding Q=6 new relays for additional recall control and automatic transfer signals for elevator operating on emergency power.

Building Review Branch Notes:
1. Related Electrical Permit EP-2017-10238
2. Fire Safety Plan and or Operations Manual to be updated to show alterations. Plans to be submitted to Fire Prevention office for approval
   Evacuation plans for occupants to be updated.
3. Schedule B - Architectural & Electrical, S.J.F Jacob, P.Eng. 

Revision #1:
Change elevator alternate recall level from 2nd floor to basement parkade, update elevator recall sequence of operations (2/E1.0), add elevator pit heat detector to riser diagram (2/E1.1) and parkade floor plan (1/E1.2), add egress paths to parkade (1/E1.2) and remove from 2nd floor level (1/E1.4), and update reference notes 2 & 3 (Page E1.3) regarding restricted access egress doors.
P Volpi, Jan. 29, 2021",,['Dwelling Uses'],['Multiple Dwelling'],2018,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1398895, 49.2577295], 'type': 'Point'}, 'properties': {}}",2018-02,"{'lon': -123.1398895, 'lat': 49.2577295}",49.2577295,-123.1398895
BP-2022-05229,2022-11-18,2022-12-21,33,150000.0,Addition / Alteration,"515 W 10TH AVENUE, Vancouver, BC V5Z 4A8","Field Review - Addition / Alteration - #200 - 2nd Floor (common washroom)

Interior alterations only to provide improvements to the common washroom of this existing General Office use on the 2nd floor of this existing commercial VanCity building on the site..

Scope of work:  Construct new interior walls, new accessible washroom, entry door with card swipe security system, HVAC, electrical and plumbing work.  Demolish suspended ceiling and millwork.

TENANT: City Of Vancouver

Letters of Assurance submitted: 
  Schedule A and Architectural Schedule B by D. Lucio Picciano, Architect, AIBC, 778.889.6849
  Electrical Schedule B by Blake Shine, P.Eng., 604.346.5131
  Plumbing/Mechanical Schedule B by Charles Powell, P.Eng., 604.595.4869 

E2 - Lighting - Upgrade to incorporate Automatic Full OFF (per 9.4.1.1.(h) of ASHRAE 90.1-2016)\t

Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.
\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2022,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1155124, 49.2625211], 'type': 'Point'}, 'properties': {}}",2022-12,"{'lon': -123.1155124, 'lat': 49.2625211}",49.2625211,-123.1155124
BP-2022-04223,2022-08-31,2022-09-26,26,435000.0,Addition / Alteration,"888 DUNSMUIR STREET, Vancouver, BC V6C 3K4","Field Review - Addition / Alteration - 3rd and 7th Floors (corridors & washrooms)

Interior alterations only to provide upgrades at the common washrooms and corridors on the 3rd and 7th floors of this existing commercial building on this site. 

Scope of work:  Demolish interior walls.  Remove t-bar ceiling, remove/replace existing lights, washroom accessories, doors, floor finishes, millwork, elevator trim, new paint and electrical work.

Building Sprinklered – Building inspector to determine on site if a separate sprinkler permit is required.

OK For Field Review and under one permit per DBI (see Documents tab)

Letters of Assurance submitted: 
   Schedule A and Architectural Schedule B by Xu (Patrick) Yang, AIBC., 604.558.3064
   Electrical Schedule B by Henry Randhawa, P.Eng., 604.370.3361
   Pluming/Mechanical Schedule B by Recep Ahmet Ozata, P.Eng. Ph#604-684-5995. 

E2 - LIGHTING: UPDATE TO INCORPORATE AUTOMATIC FULL OFF (PER 9.4.1.1.(h) OF ASHRAE 90.1-2016)

Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2022,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1183473, 49.2845565], 'type': 'Point'}, 'properties': {}}",2022-09,"{'lon': -123.1183473, 'lat': 49.2845565}",49.2845565,-123.1183473
BP-2022-04493,2022-09-23,2022-10-18,25,30000.0,Addition / Alteration,"840 HOWE STREET, Vancouver, BC V6Z 2L2","Field Review - Addition / Alteration - 9th floor ONLY- elevator lobby and common washrooms 

Interior alterations to provide improvements to the 9th floor elevator lobby in this existing commercial building on this site. 

Scope of work:  remove and repair/replace finishes to the elevator lobby and washrooms. 

DBI notes: Update to lever at existing doors to the washrooms/any vertical plumbing or raceway new or existing will required a ULC listed fire stop assembly/Framing inspection will be required.

Letters of Assurance submitted by:
Schedule A and Architectural Schedule B, Danny Ka Wai Wong, Architect, ph: 604-773-2068
Mechanical and Plumbing Schedule B, Mr. Kai Chen, P.Eng., LEED AP, ph: 604-687-1800
Electrical Schedule B, Mr. Jose Luis Lopez, P.Eng., ph: 604-687-1800

E2 Upgrade -Lighting #8- Upgrade to Incorporate Automatic Full OFF (per.9.4.1.1 (h) of ASHRAE 90.1-2026)

Energy checklist is currently no longer required with your Building Permit (BP) application.  Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable.  Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant's responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2022,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1216408, 49.2810955], 'type': 'Point'}, 'properties': {}}",2022-10,"{'lon': -123.1216408, 'lat': 49.2810955}",49.2810955,-123.1216408
DB-2021-02884,2021-06-09,2021-08-18,70,1000000.0,Addition / Alteration,"1108 ALBERNI STREET, Vancouver, BC","Field Review - Addition / Alteration - To alter the exterior and interior of this existing Retail Store to add a second entrance door and to provide tenant improvements on the ground floor of this existing commercial building.

Scope of work:
- Removal of interior walls, plumbing fixtures, millwork, finishes, ceiling, light fixtures, duct work, and mechanical piping 
- New interior walls, wall & flooring finishes, drywall ceiling, lighting, 2nd entrance door, interior handrail, extended raise floor, millwork, and sprinkler modifications to suit new layout

Note: 
- No future permits can be issued to separate these entrances into two separate suites unless improvements are proposed to provide separate, interior access to the common hallway, parking, and loading for each unit. 
- 2nd entrance door width and alignment to match with the existing entrance door
 
Ok for Field Review per Aemelia Patterson, June 9th, 2021. 

Sprinkler permit required 

Energy Checklist:
E2 - Lighting - Upgrade to incorporate Automatic Partial OFF (per 9.4.1.1.(g) of ASHRAE 90.1-2016)
Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.

Letters of Assurance Rec'd: 
Schedule A & Schedule B Architectural submitted per Glenn Cameron Ledingham, 604-662-7796
Schedule D submitted per Michael Benjamin Lemm Chan, 604-418-7531
Schedule B Mechanical submitted per David Iwabu, 604-538-0764
Schedule B Electrical submitted per Richard V. Liew, 604-277-3157",Renovation - Commercial/ Mixed Use - Lower Complexity,['Retail Uses'],['Retail Store'],2021,West End,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1240439, 49.2855138], 'type': 'Point'}, 'properties': {}}",2021-08,"{'lon': -123.1240439, 'lat': 49.2855138}",49.2855138,-123.1240439
BP-2021-05743,2021-11-03,2022-01-24,82,1550000.0,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8","Field Review - Addition / Alteration - #2200 - 22nd Floor (full floor tenant)

Interior alterations to provide tenant improvements for a new full floor office tenant on the 22nd floor (#2200) in this existing commercial building on this site.
Scope of work: construct new partition walls, doors, new universal washroom, kitchenette, millwork, finishes, ceiling work, HVAC, lighting, card reader, electrical, plumbing, mechanical and sprinkler work.
REVISION #1 - May 18/22
- revisions to Level 22 - to interconnected stair design, door swing from Elevator lobby, reflected ceiling & finishing plans for stair design, toilet location, add maglocks. (see BP-2021-06696 for L23)
- increase project value from $1,500,000.00 to $1,550,000.00. 
***************************************************
Related to BP-2021-04770 for interior demolition

Letters of Assurance submitted by:
Schedule A and Architectural Schedule B, Wojciech Brus, Architect, ph: 604-631-8270
Mechanical and Plumbing Schedule B, Eric Cresswell, P.Eng., ph: 604-684-5995
Electrical Schedule B, Roger Dupuis, P.Eng., LEED AP, ph: 604-569-6500

Building Sprinklered – Building inspector to determine on site if a separate sprinkler permit is required.

OK for Field Review per K. Vogt - Nov 3, 2021

E2 - Lighting - Upgrade to Bilevel Lighting Control (per 9.4.1.1 (d) of ASHRAE 90.1-2016

Energy checklist is currently no longer required with your Building Permit (BP) application.  Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable.  Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant's responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.

amendment
Add SP required prior to completion
2022-01-24",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2022,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1194942, 49.2822452], 'type': 'Point'}, 'properties': {}}",2022-01,"{'lon': -123.1194942, 'lat': 49.2822452}",49.2822452,-123.1194942
BP-2019-00790,2019-02-25,2019-08-16,172,2060000.0,Addition / Alteration,"1050 W PENDER STREET, Vancouver, BC V6E 3S7","Field Review - Addition / Alteration - #850-8th floor (full floor tenant) **#810 and #850 per Revision #2** 

Interior alterations only to provide a full floor tenant improvements at this existing General Office use at unit #850 and including upgrades to the elevator lobby area at this existing commercial building.

Scope of work: demolish demising wall (#810 and #850 combining; retaining #850), demolish/construct partition walls, ceiling, doors, glazing, millwork, finishes, new card readers, lighting, electrical, plumbing, mechanical and sprinkler work.

REVISION #1-Revise door hardware as per DBI's request. Note: Door #804/#828 to comply with 3.4.6.16(4) (A-G). No change in value.  ASHRAE not affected. August 16, 2019 jm

REVISION #2- Demise #850 into two units to be #810 and #810, changes to interior layout and electrical and mechanical.  Increase project value from $2,000,000.00 to $2,060,000.00 and changes to ASHRAE.  June 9, 2020 mlh

TENANT:  BBA Inc.

Letters of Assurance submitted by:
- Schedule A and Architectural Schedule B, James M. Puleo Jr., AIBC, 403.245.3089 Ext.237
- Mechanical/Plumbing Schedule B, Recep Ahmet Ozata, P.Eng, 604.684.5995
- Electrical Schedule B, Steven J. Holland, P.Eng, 778.383.1211
- Structural Schedule B, Vanessa K. Y. Wong, BASc, MASc, P. Eng.,   
604-738-0048

Building Sprinklered – Separate sprinkler permit required for proposed sprinkler work.

OK for field review as per Howie Chow, February 25, 2019.

Energy upgrade:
L2 - Lighting - Upgrade to incorporate Automatic Lighting Shutoff (per 9.4.1.1 of ASHRAE 90.1 - 2010)",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2019,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1196033, 49.2869048], 'type': 'Point'}, 'properties': {}}",2019-08,"{'lon': -123.1196033, 'lat': 49.2869048}",49.2869048,-123.1196033
DB-2019-03654,2019-08-16,2020-05-13,271,1250000.0,Addition / Alteration,"1415 LAMEY'S MILL ROAD, Vancouver, BC V6H 3W1","High Density Housing / Commercial - Addition / Alteration - Exterior alterations for building envelope repair to this existing 7-storey residential building, thereby providing the following alterations: 
- replace existing stucco cladding to rain-screen acrylic stucco cladding and install Dryvit Outsulation system to existing concrete walls on East and West elevations;
- apply waterproofing membrane at balcony and elevated walkway on Level 3;
- replace all existing balcony and walkway guardrails;
- replace all windows and sliding doors (same sizes) on all floors;
- replace all suite entry doors on South facade. 

Note:
- North and south walls colour to be ""Shitake"" SW9173 (or matching), windows white;
- East and West end walls, guard rails, south stair and elevator painted walls to be ""Taupe Tone"" SW 7633 (or matching)

******THIS PERMIT HAS BEEN ISSUED UNDER THE REQUIREMENTS OF VBBL 2014 AND REVIEWED DURING THE 2020 COVID-19 PANDEMIC CRISIS. ********

Rev. #1 - Sept 15, 2020 - C. Fong 
- W1 to add 2"" mineral wool insulation.
- Change exterior wall color to SW7665 Wall Street with black walkway & balcony railings. 

Rev. #2 - June 9, 2021 - C. Fong
- Remove self-closing device on suite entry doors. 

Building Review Branch Notes:
1. All exterior windows fronting the exterior walkway on South facade to be tempered glazing.
2. All new suite entry doors on South facade to have min. 20 min. F.P.R.
2. Sch-A, Schedule B - Arch. & D-1 are submitted.",,['Dwelling Uses'],['Multiple Dwelling'],2020,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1358552, 49.2678998], 'type': 'Point'}, 'properties': {}}",2020-05,"{'lon': -123.1358552, 'lat': 49.2678998}",49.2678998,-123.1358552
BP-2021-04710,2021-09-07,2021-11-09,63,825000.0,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8","Field Review - Addition / Alteration - 3rd Floor (HSBC)
Interior alterations for this existing full floor tenant to provide improvements and  layout changes in this existing commercial building on this site

Scope of work: Remove and construct partition walls, doors and lighting, new staff lunch room, finishes, millwork, electrical, plumbing, mechanical and sprinkler work.

OK for field review as per R. Astorino September 7, 2021

Tenant: HSBC Bank Canada

Energy Upgrade:
L2 - Lighting - Upgrade to Incorporate Automatic Lighting Shutoff (per 9.4.1.1 of Ashrae 90.1-2016

Note: Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.

Letters of Assurance Rec'd:
Schedule A & Schedule B Architectural submitted per Paul Stevens, 778-372-1111
Schedule B Mechanical & Plumbing submitted per Sam Louie, 604-687-1821
Schedule B Electrical submitted per Josh Tanner, 604-687-1821

Revision #1 - Interior walls and ramp revised and mechanical and electrical items are added/revised due to site conditions.
Above changes in revision 1 will not affect energy calculation - no new energy checklist required.
Value of revision work: $200,000
Project value: $825,000 ($625,000 + $200,000; Previous value + revision)",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2021,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1196238, 49.2836988], 'type': 'Point'}, 'properties': {}}",2021-11,"{'lon': -123.1196238, 'lat': 49.2836988}",49.2836988,-123.1196238
DB-2021-05359,2021-10-14,2022-06-14,243,187555.0,New Building,"4572 W 2ND AVENUE #3, Vancouver, BC V6R 1K9","Low Density Housing - New Building - To construct a 2 storey laneway house ***PART 5*** building ($187,555) with an detached garage and 1 open parking pad, providing a total of 3 parking spaces, having vehicular access from the lane.

Note:  This is a 1 ½ storey building pursuant to the Zoning & Development By-law

1.\tCovenant registered at the Land Title Office under CA8725319
2.\tNo Strata Titling permitted
3.\tNo A/C unit proposed
4.\tSchedule A:  W. NEIL ROBERTSON P.Eng (604-716-8881) 
5.     Schedule B:  W. NEIL ROBERTSON P.Eng (604-716-8881)  Architectural.
6.     Schedule B:  DAN WICKE P.Eng (604-484-2859) Structural
7.     Schedule B:  WARD PHILLIPS P.Eng (604-716-8881) Geotechnical
8.     Schedule D:  W. NEIL ROBERTSON P.Eng (604-716-8881) 
9. \tHPO: Residential Builder – Murray-Sims construction Ltd # 28854
10.   Entire Building to have NFPA 13-D
 

BUILDING 2
#3-4572 W 2nd Av - Laneway House (1 storey, & basement)

Address and suite number assigned as per approved plans for Fire and Emergency response. The address number is to be posted to the building to be visible from the street and the suite number is to be posted at the suite entry in accordance with the Building By-law prior to final inspection.                                

*NEW HOUSE* Note: See DB-2020-03753 for Bldg 1 on site (principal bldg) addressed #1-3842 W 26 Ave.

Note : Adaptable bathroom relaxation at Basement level per D Westerman on May 11, 2022.

****ALL PROJECT COORDINATOR NOTES HAS BEEN ACCEPTED BY THE APPLICANT****

******THIS PERMIT HAS BEEN ISSUED UNDER THE REQUIREMENTS OF VBBL #12511 (2019)******",New Build - Low Density Housing,['Dwelling Uses'],['Laneway House'],2022,West Point Grey,"{'type': 'Feature', 'geometry': {'coordinates': [-123.211063, 49.2710584], 'type': 'Point'}, 'properties': {}}",2022-06,"{'lon': -123.211063, 'lat': 49.2710584}",49.2710584,-123.211063
DB-2023-00747,2023-02-27,2023-03-23,24,80000.0,Addition / Alteration,"2465 KINGSWAY, Vancouver, BC V5R 5G8","Field Review - Addition / Alteration - 2465 Kingsway 

Interior alterations to change the use from Retail to Photography Studio in this unit on the ground floor of this existing mixed-use building on this site.

Revision #1: platform structure has been changed from wood to steal structure and stairs hand railling ha been changed from glass to wood. No change in project value.

Sch B(Mech & Plumb): Farzad Hemmati, #45972, 604-649-4574, BMAC Technologies and Consulting Inc.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Service Uses'],['Photofinish or Photography Studio'],2023,Renfrew-Collingwood,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0552678, 49.240643], 'type': 'Point'}, 'properties': {}}",2023-03,"{'lon': -123.0552678, 'lat': 49.240643}",49.240643,-123.0552678
BP-2023-03024,2023-08-23,2025-05-07,623,29780000.0,New Building,"433 LAKEWOOD DRIVE, Vancouver, BC V5L 1T8","Certified Professional Program - New Building - To construct a 4-storey mixed-use building consisting of Retail on level one and Residential on levels one to four, containing a total of 111 secured market rental dwelling units, all over two levels of underground parking having vehicular access from the lane.

VBBL 2019 - NFPA 13 - With Radio Antenna.

Mechanical Review Notes for Pre-shaft:
- Three 2-hr horizontal shaft with grease duct will be installed under this permit for CRU #121, #126 and #127. Shaft for #121 will go through residential lobby and amenity room. (Updated for revision #1)
- Four horizontal discharge routes to the lane for the rest of CRUs are identified and will be installed by future tenants.

Stage 1 - Excavation, Shoring, and Foundation to Grade issued on June 27, 2024.
Stage 2 - Full Construction issued on May 7, 2025.
Revision #1 (___________) - changes as follows:
1) Both commercial and residential elevator core dimensions changed to suit the elevator models used in the project.
2) The top of the parapet elevation to the elevator overrun on the rooftop has been reduced from 164’-3” to 162’-0” to meet elevator equipment.
3) Stair 5 and Stair 1 L1 landings have been changed to exit through the corridor between the amenity room and Unit 101 to the back lane. The Residential Lobby is no longer an exit lobby.
4) Unit x18 (C3) on L2-L4 entry area layout changed due to mechanical shaft size adjustments, which increased the usable space in the unit.
5) The storage room south of Stair 1 on P1 has been changed to an open Bike Wash area.
6) Unit area correction.
7) CRU 126 and CRU 127 kitchen exhaust duct to be installed as part of the base building
8) Revised kitchen exhaust duct shaft to rated kitchen wrap (revised K2 form and wrap listing)
9) CRU 121 and CRU 122 sanitary systems to be pumped from the foundation.
10) South L1 patio drains to be run as stormwater into the detention tank.  
11) An Electrical Engineer change from Haitham Ahmed (outgoing) to Roger Dupuis (incoming) dated Dec 5, 2025.",,"['Dwelling Uses', 'Retail Uses']","['Retail Store', 'Mixed-Use Residential Building']",2025,Grandview-Woodland,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0617519, 49.2808736], 'type': 'Point'}, 'properties': {}}",2025-05,"{'lon': -123.0617519, 'lat': 49.2808736}",49.2808736,-123.0617519
BP-2018-04413,2018-08-15,2018-12-18,125,10000.0,Addition / Alteration,"3766 W 7TH AVENUE #105, Vancouver, BC V6R 1W8","Field Review - Addition / Alteration - #105- 
Interior alterations to the existing bathrooms , plumbing does not move, changing both bathroom doors to pocket doors, removing a small portion of the wall and removing 45 degree angle wall and making square to enter the kitchen, this will allow for wheel chair access.  Upgrading main entry, kitchen, and bathroom floor tile. Bathrooms to have in-floor radiant heating. 

OK for Field Review, A.Campbell/A.Patterson August 15/2018 

Energy upgrade exempted: Suite - Reached Energy Efficiency Target",Renovation - Residential - Lower Complexity,['Dwelling Uses'],['Multiple Dwelling'],2018,West Point Grey,"{'type': 'Feature', 'geometry': {'coordinates': [-123.187071, 49.2656711], 'type': 'Point'}, 'properties': {}}",2018-12,"{'lon': -123.187071, 'lat': 49.2656711}",49.2656711,-123.187071
BP-2024-01583,2024-05-03,2024-05-09,6,10000.0,Addition / Alteration,"4575 CLANCY LORANGER WAY, Vancouver, BC V5Y 2M4","Direct to Inspections - Addition / Alteration - 4575 Clancy Loranger Way

Interior alterations to add a new door and automatic door openers on level one of the curling lounge of this existing community centre building on this site.

OK for DTI per W.Wong - May 3, 2024

open bp",Renovation - Commercial/ Mixed Use - Lower Complexity,['Cultural/Recreational Uses'],['Community Ctr./Neighbourhood House'],2024,Riley Park,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1083932, 49.2447207], 'type': 'Point'}, 'properties': {}}",2024-05,"{'lon': -123.1083932, 'lat': 49.2447207}",49.2447207,-123.1083932
