address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
10220 - 103 AVENUE NW,DOWNTOWN,"Ward 06,O-day'min Ward",53.54531828476086,-113.49719088528578,yes,development,1,0,1,accessible,2015-08-31T00:00:00.000,2015-08-31T00:00:00.000,,162139487-015,"To construct a 250.8 meter high mixed Use Tower with General Retail Stores on the main Floor; General Retail Stores and Specialty Food Services (with 12,696 square meters of Public Space and 600 seats) on the 2nd Floor; and General Retail Stores and Professional, Financial and Office Support Services on the 3rd floor; Professional, Financial and Office Support Services and accessible garden roof Amenity Area on the 4th Floor; Professional, Financial and Office Support Services from the 5th to 28th Floors; mechanical on the 29th Floor; Apartment Housing (454 Dwelling units) in the upper Tower from 30th to 66th Floors where the 30th Floor has a Residential roof Amenity Area; mechanical on the 67th to 69th Floors; and pedway to connect to the adjacent proposed Hotel (legally described as Plan 1321953, Block 2, Lot 1) development on a portion of the Site (legally described as Plan 1321953, Block 2, Lot 2). (Stantec Tower)",development
10220 - 123 STREET NW,WÎHKWÊNTÔWIN,O-day'min Ward,53.5434054188626,-113.53461565773316,yes,development,1,0,1,ramp,2022-03-22T00:00:00.000,2022-03-22T00:00:00.000,,416752365-002,"To revise the design and to construct an addition; increase the Dwelling units from 158 to 163 for the Multi-unit Housing Use; and to construct exterior alterations (double height ground floor Commercial Uses reduced to single Storey along 102 Avenue and the corner of 123 Street; added chiller with mechanical screening on rooftop, increase in Height from 21.0 m to 21.7 m and increase in Amenity Area) to the building; and to construct exterior alterations to the Site (modifications to the landscaping, hardscaping and street furniture); and to reduce Public Space on the ground level with two (2) Specialty Food Services (Public Space of 64.4 m2 reduced to 62.41 m2, and 64.4 m2 reduced to 59.48 m2) and three (3) Restaurants (Public Space of 89.6 m2 reduced to 86.6 m2, and Public Space of 86.8 m2 reduced to 80.89 m2, and Public Space of 125.3 m2 reduced to 119.06 m2); and to change the Use of one (1) Restaurant to Specialty Food Services and to reduce the Public Space from 55.3 m2 to 50.4 m2); and to construct interior alterations (increase of underground vehicular parking stalls from 190 to 209 (consisting of an increase from 62 to 65 vehicular parking stalls as Vehicle Parking Use and an increase from 128 to 144 Accessory vehicular parking stalls for Multi-unit Housing Use and alterations to the underground parkade ramp); and increase in bicycle parking stalls from 91 to 94, to a mixed-Use building with Commercial Uses on the ground level. (Reference: Development Permit number 402632186-002)",development
1025 - 109 STREET NW,BEARSPAW,,,,no,building,1,1,0,wider doorway,2024-07-15T00:00:00.000,2024-07-15T00:00:00.000,1-518152471,,"To construct interior alterations (Kitchen renoation, including doorway widening of 2 entrances on non-weight bearing walls; existing half bath renovation, reconfiguration of master bedroom doorways and ensuite closets. Hallway closet space relocated within hallway. Existing electrical and plumbing will be used. Repositioning of 2 toilets. New ceiling light fixtures to existing wiring. Exterior doors will be updated, but same size of openning., NOT to be used as an additional Dwelling).",none
10250 - 115 STREET NW,WÎHKWÊNTÔWIN,,53.54422584261713,-113.51998809901811,yes,building,1,1,0,lift,2025-03-04T00:00:00.000,2025-03-04T00:00:00.000,1-566084125,,"To construct Interior Alterations (elevator modernization) to an existing residential apartment building. ""Christopher Arms""",parcel_geocode
1030 - CARTER CREST ROAD NW,CARTER CREST,,53.46597212441108,-113.57452374240759,yes,building,1,1,0,lift,2014-10-29T00:00:00.000,2014-10-29T00:00:00.000,0-162370691,,Construct Interior Alterations (install door in existing house to garage wall and install personal lift),parcel_geocode
10324 - 103 STREET NW,DOWNTOWN,"Ward 6,O-day'min Ward",53.54537323907584,-113.49723497062547,yes,development,1,0,1,accessible,2022-03-01T00:00:00.000,2022-03-01T00:00:00.000,,422652459-002,"To construct exterior alterations (removal of two exterior doors and add glazing for future tenant fit-out on the east facade on the ground floor level to a mixed Use Tower (9 General Retail Stores, 3 Restaurants (60% of total Floor Area as Public Space), 1 Professional, Financial and Office Support Services, with accessory Non-Residential Amenity Area including accessible outdoor rooftop podium; with an Apartment Housing Tower with accessory Residential Amenity Area (indoor and outdoor rooftop podium); and an Urban Garden on the rooftop podium (reference Development Permit number 234919092-007). (Ice District, Building BG)",development
10335 - 138 STREET NW,GLENORA,,53.54587403084979,-113.5592143321904,yes,building,1,1,0,lift,2024-06-19T00:00:00.000,2024-06-19T00:00:00.000,1-505848014,,"To construct interior and exterior alterations to a Residential Use building in the form of a Single Detached House (Basement development, NOT to be used as an additional Dwelling and foundation replacement). (Bedroom, Mechanical Room, Living room, bathroom, storage) (House is being lifted, existing foundation being removed and replaced)",parcel_geocode
10405 - 142 STREET NW,GLENORA,Nakota Isga Ward,53.54643638313503,-113.56529835244064,yes,development,1,0,1,barrier-free; ramp,2018-02-06T00:00:00.000,2018-02-06T00:00:00.000,,265474793-001,To demolish and construct exterior alterations to an existing Religious Assembly (rebuild and extend landing and barrier-free ramp).,development
10430 - 83 STREET NW,FOREST HEIGHTS,,53.54720220939534,-113.45601789822489,yes,building,1,1,0,handrail,2015-06-22T00:00:00.000,2015-06-22T00:00:00.000,3-167077339,,"To construct an addition to a Single Detached House (front covered wood deck, 3.23m x 1.23m and guardrail and handrail), exisiting without permits. This permit does not include the stair.",parcel_geocode
10505 - 106 STREET NW,CENTRAL MCDOUGALL,O-day'min Ward,53.548085031,-113.502000098,yes,development,1,0,1,accessible; ramp,,,,565541861-002,To construct an accessibility ramp and conduct maintenance to a non-Residential building.,development
10515 - 123 AVENUE NW,WESTWOOD,,,,no,building,1,1,0,ramp,2020-04-29T00:00:00.000,2020-04-29T00:00:00.000,1-354760998,,"To construct a Semi-Detached House with 2 secondary suite(s), Unenclosed Front Porches and Ramps on each side.",none
10523 - 123 STREET NW,WESTMOUNT,,53.54851348395697,-113.53363044802235,yes,building,1,1,0,barrier-free; ramp,2023-10-30T00:00:00.000,2023-10-30T00:00:00.000,1-482286707,,"To construct Exterior Alterations to remove and replace the sidewalk, stair and barrier-free ramp to an existing apartment building. - ""High Street District Properties""",parcel_geocode
10534 - 100 STREET NW,MCCAULEY,,53.54846777735531,-113.49205303135544,yes,building,1,1,0,lift,2009-07-14T00:00:00.000,2009-07-14T00:00:00.000,1-75893111,,"To change use (office to residential) and construct interior and exterior alterations for a 44-unit shelter building [with exterior fire escape/elevator enclosures, roof-top patio; temporary lodging facility: (""heritage-listed"") ""Immigration Hall"" ]",parcel_geocode
10540 - 77 AVENUE NW,QUEEN ALEXANDRA,papastew Ward,53.513561034,-113.50244561,yes,development,1,0,1,barrier-free,2025-07-17T00:00:00.000,2025-07-17T00:00:00.000,,611862051-002,To construct exterior alterations to a 25 Dwelling Residential Use building in the form of a Multi-unit Housing (sloped pathway and new barrier free access to the East entrance).,development
"106, 10811 - 115 STREET NW",QUEEN MARY PARK,,53.553311822059264,-113.51894213365195,yes,building,1,1,0,lift,2022-10-11T00:00:00.000,2022-10-11T00:00:00.000,1-436855256,,To construct exterior alterations (underpin and lift foundation in s.w. corner of building) and interior alterations (mold remediation to affected suites) to an existing residential condominium building.,parcel_geocode
10721 - SASKATCHEWAN DRIVE NW,GARNEAU,,53.5233884321019,-113.50814722084078,yes,building,1,1,0,lift,2022-03-08T00:00:00.000,2022-03-08T00:00:00.000,4-421846492,,"To complete Interior Alterations (Elevator electrical modifications) to an existing apartment building - The Riverwind (Tower ""B"") NOTE: see BP 421856906-002 for Tower ""A""",parcel_geocode
10723 - 111 AVENUE NW,CENTRAL MCDOUGALL,,53.558550918499606,-113.50592290462079,yes,building,1,1,0,lift; wheelchair,2016-03-29T00:00:00.000,2016-03-29T00:00:00.000,0-187144156,,To Construct interior alterations in an existing 4 unit apartment.  Wheelchair lift & enclosure assembly in atrium of short term accomodations facility. LARGA Ltd.,parcel_geocode
10727 - 114 STREET NW,QUEEN MARY PARK,O-day'min Ward,53.552339666996005,-113.51710243472887,yes,development,1,0,1,ramp; wheelchair,2016-03-04T00:00:00.000,2016-03-04T00:00:00.000,,187150972-001,To construct an exterior alteration to an existing Religious Assembly Building (Wheelchair ramp),development
10731 - SASKATCHEWAN DRIVE NW,GARNEAU,,,,no,building,1,1,0,lift,2022-03-08T00:00:00.000,2022-03-08T00:00:00.000,2-421846492,,"To complete Interior Alterations (Elevator electrical modifications) to an existing apartment building - The Riverwind (Tower ""A"") NOTE: see BP 421856906-004 for Tower ""B""",none
"108, 1316 - WINDERMERE WAY SW",WINDERMERE,pihêsiwin Ward,53.43386717662011,-113.6181445999114,yes,development,1,0,1,ramp,2020-02-20T00:00:00.000,2020-02-20T00:00:00.000,,164646558-032,To change the Use of one Dwelling inside an approved Multi-unit House to a Residential Sales Centre (maximum two years) and to construct exterior alterations (access ramps),development
1081 - TORY ROAD NW,TERWILLEGAR TOWNE,,53.45127117383992,-113.56947861056751,yes,building,1,1,0,handicap; lift,2025-08-13T00:00:00.000,2025-08-13T00:00:00.000,1-621193989,,"To construct interior alterations, modify structural floor joist (installing a handicap lift, NOT to be used as an additional Dwelling).",parcel_geocode
10911 - 163 STREET NW,MAYFIELD,,53.55536788645347,-113.6003900241341,yes,building,1,1,0,lift,2010-05-12T00:00:00.000,2010-05-12T00:00:00.000,1-96513954,,To Construct an addition (lift the main floor of a bungalow to create a basement).,parcel_geocode
10923 - 89 AVENUE NW,GARNEAU,,53.524526686746405,-113.51339689206192,yes,building,1,1,0,ramp; wheelchair,2019-06-06T00:00:00.000,2019-06-06T00:00:00.000,0-304282394,,To construct two additions ( rear and side additions on main floor) and a rear uncovered deck with a wheelchair ramp (1.83m x 4.7m @0.8m in Height) to a Single Detached House.,parcel_geocode
11007 - 83 AVENUE NW,GARNEAU,,53.51882926377139,-113.51565187429975,yes,building,1,1,0,ramp,2020-05-22T00:00:00.000,2020-05-22T00:00:00.000,1-361297417,,"To construct Interior Alteration to parkade of an apartment condo building - Varscona Towers 2020 Parking Structure Repair Program - Structural repairs of open-air parking structure including replacement of 2 concrete entrance/exit ramp slabs and trench drain assemblies. Partial replacement of concrete retaining wall, localized deteriorated concrete repairs. New asphalt parking stall addition at South East corner of building.",parcel_geocode
11025 - 174A AVENUE NW,CHAMBERY,,53.63621913203514,-113.51308701741624,yes,building,1,1,0,lift,2025-06-05T00:00:00.000,2025-06-05T00:00:00.000,1-566553927,,To construct interior alterations (adding an elevator to the Garage).,parcel_geocode
11033 - 123 STREET NW,WESTMOUNT,,53.55831475730242,-113.53366574385272,yes,building,1,1,0,lift,2011-09-01T00:00:00.000,2011-09-01T00:00:00.000,1-111997575,,To construct Exterior Alterations (lift house and move house right approximately 20 cm replace foundation) with new foundation for supporting existing porch/redo) and construct an addition (mudroom under west side cantilever).,parcel_geocode
11037 - 84 STREET NW,CROMDALE,,,,no,building,1,1,0,handrail,2009-12-23T00:00:00.000,2009-12-23T00:00:00.000,1-92589687,,To Construct interior alterations to 2 apartment Bldgs- new guards and handrails to conform to code as directed by Health Dept.,none
11122 - 81 AVENUE NW,GARNEAU,papastew Ward,53.51738524865865,-113.5189069314319,yes,development,1,0,1,lift,,,,647331184-002,To construct a Residential Use building in the form of a Single Detached House with Development application is for foundation replacement.  House is to be lifted and existing foundation removed and replaced.  New basement walls to be heightened in keeping with neighbouring dwelling. .,development
11123 - 75 AVENUE NW,MCKERNAN,,53.510985837412484,-113.51809434106937,yes,building,1,1,0,ramp; wheelchair,2013-12-06T00:00:00.000,2013-12-06T00:00:00.000,0-143099102,,"To construct a single detached house with a front veranda, basement development, wheelchair ramp, and to demolish the existing single detached house and detached garage.",parcel_geocode
11131 - 80 AVENUE NW,GARNEAU,,53.515918851977325,-113.5193833036324,yes,building,1,1,0,lift,2023-06-06T00:00:00.000,2023-06-06T00:00:00.000,1-473442182,,To construct interior alterations to a Single Detached House (structural changes). Installing nine helical piles to lift and stabilize existing addition.,parcel_geocode
11134 - 126 STREET NW,INGLEWOOD,,53.55989911040611,-113.53994809807402,yes,building,1,1,0,lift,2009-11-27T00:00:00.000,2009-11-27T00:00:00.000,1-87784039,,"To construct exterior alterations to a single detached house (lifting house by 2', demolishing existing foundation & replacing with new polycore foundation).",parcel_geocode
11146 - 66 STREET NW,HIGHLANDS,,53.56375676918482,-113.4392464754092,yes,building,1,1,0,lift,2024-03-18T00:00:00.000,2024-03-18T00:00:00.000,2-471247098,,"To construct a Concrete Pre-Cast Single Detached House with Unenclosed Front Porch, balcony, rear covered deck, fireplaces, rear uncovered deck (5.18m x 4.27m) and to develop a Secondary Suite in the Basement. Secondary Suite: Two Bedrooms, Two Bathrooms, Laundry Room, Sewing Room, Living Room, Kitchen, Storage Room, Mechanical Room and Elevator.",parcel_geocode
11147 - 82 AVENUE NW,GARNEAU,,53.51777805094606,-113.52050758694644,yes,building,1,1,0,lift,2023-10-31T00:00:00.000,2023-10-31T00:00:00.000,1-488873057,,"To construct Interior Alteration to an existing Apartment Housing. Replace existing Emergency Generator, Emergency Power Panel & Elevator Disconnects. Concord Tower",parcel_geocode
1115 - WAHL PLACE NW,WINDERMERE,,53.4419919252286,-113.62426990804316,yes,building,1,1,0,lift,2019-10-04T00:00:00.000,2019-10-04T00:00:00.000,0-326377403,,"To construct an addition to a Single Detached House (2 storey garage addition with storage and elevator, 3.66 m x 2.74 m).",parcel_geocode
11201 - 95 STREET NW,ALBERTA AVENUE,Métis Ward,53.56121439089109,-113.4867007754461,yes,development,1,0,1,ramp,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,,453891609-002,"To construct an Addition (new vestibule), exterior alterations (new front stairs & ramp) and interior alterations to an existing Religious Assembly building.",development
11213 - 65 STREET NW,HIGHLANDS,,53.565336503512,-113.43771028901845,yes,building,1,1,0,lift,2026-01-12T00:00:00.000,2026-01-12T00:00:00.000,1-640448039,,To construct exterior alterations to an existing Residential Use building in the form of a Single Detached House (Maintenance work includes lifting and stabilizing an existing porch using screw piles and a beam).,parcel_geocode
11230 - 104 AVENUE NW,WÎHKWÊNTÔWIN,,53.54744602049037,-113.51447198507721,yes,building,1,1,0,ramp,2022-07-13T00:00:00.000,2022-07-13T00:00:00.000,1-437305815,,"To construct exterior alterations (removal of wood B/F and construct new concrete B/F ramp). ""Oliver Village -Brighton Building """,parcel_geocode
11316 - 18 AVENUE NW,SKYRATTLER,,53.44886748231205,-113.52394127713373,yes,building,1,1,0,lift,2025-04-23T00:00:00.000,2025-04-23T00:00:00.000,1-518818141,,"To construct interior alterations (install a home lift , NOT to be used as an additional Dwelling) and to construct exterior alterations (change an existing window to a side door).",parcel_geocode
11327G - 36 AVENUE NW,GREENFIELD,papastew Ward,53.46981265973028,-113.52608555553053,yes,development,1,0,1,lift,2022-08-24T00:00:00.000,2022-08-24T00:00:00.000,,439388364-002,To construct a two-Storey Garden Suite with balcony and elevator (10.05m x 7.93m).,development
11336 - 88 STREET NW,PARKDALE,,53.56378950625221,-113.47709780983519,yes,building,1,1,0,lift,2025-11-20T00:00:00.000,2025-11-20T00:00:00.000,1-635589730,,"To construct interior alterations to a Residential Use building (installing push piers, which are steel foundation supports that are hydraulically driven into the ground until they reach stable soil or bedrock. They’re used to lift and stabilize buildings that have settled due to weak or shifting surface., NOT to be used as an additional Dwelling). Changed from 22 to 20 piers",parcel_geocode
11350 - 104 AVENUE NW,WÎHKWÊNTÔWIN,,53.54747811110954,-113.51664051590171,yes,building,1,1,0,barrier-free; ramp,2022-06-22T00:00:00.000,2022-06-22T00:00:00.000,1-437291711,,To construct exterior alterations (replace the existing wood barrier-free ramp with a concrete ramp AND stair/steps maintenance).,parcel_geocode
1139 - HAINSTOCK GREEN SW,HAYS RIDGE AREA,,53.41395920649197,-113.56865858246763,yes,building,1,1,0,lift,2024-07-03T00:00:00.000,2024-07-03T00:00:00.000,1-513715279,,To construct interior alterations (adding an elevator in the Single Detached House).,parcel_geocode
11427 - 48 AVENUE NW,MALMO PLAINS,papastew Ward,53.48560348994347,-113.52484913902356,yes,development,1,0,1,lift,2015-09-23T00:00:00.000,2015-09-23T00:00:00.000,,161851219-012,"To construct exterior alterations to a Single Detached House (glass elevator overrun, door change at swimming pool room, new chimney, extension of wall above swimming pool room).",development
11431 - 50 AVENUE NW,MALMO PLAINS,,53.48707736124447,-113.52614949326693,yes,building,1,1,0,ramp,2024-11-27T00:00:00.000,2024-11-27T00:00:00.000,1-526958409,,To construct a Front uncovered deck (4.27m x 3.05m @ 0.50m in Height) with ramp.,parcel_geocode
11445 - 135 STREET NW,WOODCROFT,,53.56475203947687,-113.55396163104317,yes,building,1,1,0,lift,2024-06-13T00:00:00.000,2024-06-13T00:00:00.000,1-509914569,,"To construct Interior Alterations to update fire alarm system and elevator program change in an existing care home building. ""Matheson Senior's Housing""",parcel_geocode
11451 - 162 AVENUE NW,DUNLUCE,,53.622905744826525,-113.52304234774924,yes,building,1,1,0,lift,2018-05-23T00:00:00.000,2018-05-23T00:00:00.000,1-282231475,,To construct a rear uncovered deck (with lifting device) to a Single Detached House (5.18m x 3.05m @ 0.99m in Height).,parcel_geocode
11456 - 152 AVENUE NW,CAERNARVON,,53.61224558973562,-113.52007697781535,yes,building,1,1,0,ramp,2009-11-23T00:00:00.000,2009-11-23T00:00:00.000,1-91116380,,To construct a Ramp & deck to a single detached house.,parcel_geocode
11526 - 76 AVENUE NW,BELGRAVIA,papastew Ward,53.51252476995297,-113.53084074793458,yes,development,1,0,1,lift,2018-10-19T00:00:00.000,2018-10-19T00:00:00.000,,292487464-001,To construct an addition to a Religious Assembly building (elevator shaft).,development
11528 - 44 AVENUE NW,ROYAL GARDENS,papastew Ward,53.481735513140194,-113.53087244128808,yes,development,1,0,1,lift; wheelchair,,,,627508679-002,To Construct Exterior Alterations to a Residential Development in the form of Supportive Housing (Wheelchair Lift for a Group Home),development
11540 - 74 AVENUE NW,BELGRAVIA,,53.51062602930328,-113.53102055504093,yes,building,1,1,0,ramp,2010-12-14T00:00:00.000,2010-12-14T00:00:00.000,0-101182883,,"To construct a single detached house with with a rear uncovered deck (1.52m x 4.27m) having a ramp sloping to the rear of the property, pellet burning stove and basement development.",parcel_geocode
11648 - 71 AVENUE NW,BELGRAVIA,,53.50664492048295,-113.53447788241489,yes,building,1,1,0,ramp,2013-05-13T00:00:00.000,2013-05-13T00:00:00.000,0-126671696,,"To construct a single detached house, covered entry, rear covered (4.57m x 3.66m) and uncovered (4.57m x 3.35m) deck, 1.09m wide rear ramp, fireplace, and basement development.",parcel_geocode
11703 - 166 AVENUE NW,DUNLUCE,,53.62795317287671,-113.52411358036696,yes,building,1,1,0,barrier-free; lift,2021-10-07T00:00:00.000,2021-10-07T00:00:00.000,1-405570145,,"To construct exterior and interior alterations to a Single Detached House (main floor and basement renovation (NOT to be used as an additional Dwelling), concrete pad for stairs and landing construction (irregular shape) and new barrier-free lift).",parcel_geocode
11711 - 105 AVENUE NW,QUEEN MARY PARK,O-day'min Ward,53.547977704624,-113.52400157059846,yes,development,1,0,1,accessible; ramp,2018-05-16T00:00:00.000,2018-05-16T00:00:00.000,,139507555-023,"To construct exterior alterations (includes removal of rooftop patio, and addition of accessibility ramp at south entrance) to an Apartment House building.",development
11731 - 111 AVENUE NW,QUEEN MARY PARK,O-day'min Ward,53.55845297323033,-113.52506201229875,yes,development,1,0,1,lift; wheelchair,2018-11-06T00:00:00.000,2018-11-06T00:00:00.000,,294023918-001,To construct a front uncovered deck with wheelchair lift (2.13m x 2.13m @ 0.56m in Height) and interior/ exterior alterations (main floor renovation and enlarging front door) to an existing Single Detached House.,development
11832 - 105 STREET NW,WESTWOOD,,53.57150170866451,-113.50159946538018,yes,building,1,1,0,lift,2019-10-23T00:00:00.000,2019-10-23T00:00:00.000,0-313266470,,"To construct exterior alteration to an existing building. Underpinning the foundation, lifting back to level.",parcel_geocode
11833 - 87 AVENUE NW,WINDSOR PARK,,53.522609271254744,-113.53700244373616,yes,building,1,1,0,lift,2025-11-28T00:00:00.000,2025-11-28T00:00:00.000,2-602763901,,"To construct a Residential Use building in the form of a Single Detached House with an unenclosed front porch, balcony, Basement development (NOT to be used as an additional Dwelling) and fireplace. 11833 - 87 AVENUE NW BD = bedroom, rec room, pedway to garage, mud room, elevator, mechanical room, bathroom, wet bar",parcel_geocode
11915 - 106 AVENUE NW,QUEEN MARY PARK,,53.549019093680265,-113.52760177428883,yes,building,1,1,0,handrail,2024-02-06T00:00:00.000,2024-02-06T00:00:00.000,2-495780195,,"To construct Exterior Alteration - repairs to concrete stairs, handrail and new slab. - Glenora Court",parcel_geocode
11920 - 100 AVENUE NW,WÎHKWÊNTÔWIN,,53.540196021508656,-113.52785243963557,yes,building,1,1,0,barrier-free,2024-07-19T00:00:00.000,2024-07-19T00:00:00.000,1-513809817,,To construct interior alterations (renovating the common areas on the 19th floor- sauna and washrooms to create barrier free access) to an existing residential hi-rise condominium building - Fairmont Residence.,parcel_geocode
11921 - 52 STREET NW,NEWTON,,53.57258552840281,-113.42109545152331,yes,building,1,1,0,ramp,2014-07-23T00:00:00.000,2014-07-23T00:00:00.000,1-157974349,,To construct a ramp access to the existing Single Detached House (gradually increasing in height from grade to a max height of 0.86m).,parcel_geocode
11922 - 125 STREET NW,PRINCE CHARLES,,53.572799053939484,-113.53821725352437,yes,building,1,1,0,ramp,2020-08-07T00:00:00.000,2020-08-07T00:00:00.000,1-365023814,,"To construct interior alterations (Basement development, NOT to be used as an additional Dwelling). 2 bedroom, bathroom, mech room and rampus romm",parcel_geocode
11929 - 126 STREET NW,PRINCE CHARLES,,53.572902569422276,-113.5389994309193,yes,building,1,1,0,accessible; ramp,2019-06-19T00:00:00.000,2019-06-19T00:00:00.000,0-311388364,,To construct a front uncovered deck with accessibility ramp to a Single Detached House (1.64m x 3.04m @ 0.76m in Height).,parcel_geocode
11969 - JASPER AVENUE NW,WÎHKWÊNTÔWIN,,53.5406343505577,-113.52877217360674,yes,building,1,1,0,lift,2021-07-14T00:00:00.000,2021-07-14T00:00:00.000,1-388575103,,To construct interior alteration to an apartment condo building (add vestibules to exits and elevators on main floor and P1 to P6) - The Pearl.,parcel_geocode
12015 - 60 STREET NW,MONTROSE,Métis Ward,53.57394179011042,-113.4333227602095,yes,development,1,0,1,ramp; wheelchair,2015-11-12T00:00:00.000,2015-11-12T00:00:00.000,,174931235-001,To change the use from a Single Detched house with Secondary Suite to a Limited Group Home (max 6 residents) and to construct a rear landing (2.59m x 3.96m) with wheelchair accessable ramp.,development
12020 - 131 STREET NW,SHERBROOKE,,53.5740967676102,-113.54886110830331,yes,building,1,1,0,ramp; wheelchair,2019-11-14T00:00:00.000,2019-11-14T00:00:00.000,0-326241073,,To construct a front uncovered deck (5.49m x 3.96m @ .9m in Height) and a wheelchair access ramp (1.2 m wide) to a Single Detached House.,parcel_geocode
12058 - 58 STREET NW,MONTROSE,,53.57454939890827,-113.43113188875357,yes,building,1,1,0,ramp,2010-07-13T00:00:00.000,2010-07-13T00:00:00.000,1-98341931,,To construct an addition to a single detached house (Secondary Suite at Grade) and a rear uncovered deck and side yard ramp. Inspection done by Current Planning.,parcel_geocode
12106 - 123 STREET NW,PRINCE CHARLES,,53.575431005973996,-113.53467035397205,yes,building,1,1,0,lift; wheelchair,2014-01-30T00:00:00.000,2014-01-30T00:00:00.000,1-147497748,,To construct exterior alterations (install wheelchair lift on new 1.52m x 1.52m concrete pad in front yard) to an existing Single Detached House.,parcel_geocode
12234 - 49 STREET NW,BERGMAN,,53.57803615146638,-113.41728057979059,yes,building,1,1,0,ramp; wheelchair,2014-05-09T00:00:00.000,2014-05-09T00:00:00.000,0-151112716,,"To construct a front uncovered deck (7.01m x 2.59m @ 0.91m in Height, c/w wheelchair access ramp).",parcel_geocode
12247 - 106 STREET NW,WESTWOOD,O-day'min Ward,53.57815342134148,-113.50238739077693,yes,development,1,0,1,accessible; ramp,2020-03-25T00:00:00.000,2020-03-25T00:00:00.000,,354771412-001,"To construct a Semi-Detached House with Unenclosed Front Porches, accessibility ramps, Secondary Suites in the Basements, and to demolish the existing Single Detached House and Accessory building (rear detached Garage).",development
1229 - SUMMERSIDE DRIVE SW,SUMMERSIDE,,53.42087976407657,-113.47014158991338,yes,building,1,1,0,lift,2025-04-11T00:00:00.000,2025-04-11T00:00:00.000,1-566915130,,"To construct interior alterations (New indoor elevator and new stair configuration (basement to main floor to 2nd floor), main floor renovations, kitchen renovations, new gas fireplace, new gas heater in garage, 2nd floor renovations, and Basement development with Theatre, Gym, Bathroom, Storage and mechanical room. NOT to be used as an additional Dwelling).",parcel_geocode
12304 - 66A AVENUE NW,GRANDVIEW HEIGHTS,,53.503105159306564,-113.54256371388392,yes,building,1,1,0,lift,2025-10-16T00:00:00.000,2025-10-16T00:00:00.000,1-630584995,,"To construct interior alterations (installing of push piers, which are steel pipes that are driven deep into the ground under a foundation to support and lift the settling structure, NOT to be used as an additional Dwelling).",parcel_geocode
12304G - 131A AVENUE NW,CALDER,,53.591559429368026,-113.53366703221641,yes,building,1,1,0,lift,2022-03-04T00:00:00.000,2022-03-04T00:00:00.000,2-413015872,,To construct a Garden Suite with balcony and Future Elevator.,parcel_geocode
12308 - 83 STREET NW,EASTWOOD,,53.57853351459492,-113.4695824728106,yes,building,1,1,0,lift; wheelchair,2011-10-14T00:00:00.000,2011-10-14T00:00:00.000,1-116210102,,To construct exterior alterations (wheelchair lift addition to existing front steps),parcel_geocode
12317 - 128 STREET NW,SHERBROOKE,Anirniq Ward,53.57869399681178,-113.54239162444493,yes,development,1,0,1,ramp,2018-08-08T00:00:00.000,2018-08-08T00:00:00.000,,286945027-006,"To convert a Single Detached House to a Limited Group Home (5 residents),  construct interior alterations and uncovered rear deck (7.77m x 6.7m), Pergola (1.64m x 2.43m) and ramps. (pre-application: 235655816-001)",development
124 - 66 STREET SW,ELLERSLIE,Karhiio Ward,53.43191997999526,-113.44417468572526,yes,development,1,0,1,barrier-free; ramp,2019-03-15T00:00:00.000,2019-03-15T00:00:00.000,,170879422-017,"To construct an Addition, Exterior Alterations and Interior Alterations to a Child Care Services Use building (maximum 189 children) (to enclose an egress stairway, expand a covered patio [3.2m x 2.4m],amend and enclose a covered barrier free access ramp and covered patio [11.3m x 2.9m], partially enclose existing second floor patio, remove window on East Facade) and to amend the Landscaping Plan (adding trees and shrubs to the front setback).",development
12511 - GRAND VIEW DRIVE NW,GRANDVIEW HEIGHTS,,53.50200935016163,-113.54743444095594,yes,building,1,1,0,lift,2022-10-06T00:00:00.000,2022-10-06T00:00:00.000,1-437527442,,"To construct an addition, exterior alterations and interior alterations to a Single Detached House (addition: rear addition over exiting foundation; front addition enclosing existing balcony)(exterior alterations: change the pitch on roof to later accommodate solar panels)(interior alterations: configuration and moving kitchen to top floor) and an elevator.",parcel_geocode
12727 - 114 STREET NW,CALDER,,53.58588620505487,-113.51778632292464,yes,building,1,1,0,accessible; handicap,2012-07-12T00:00:00.000,2012-07-12T00:00:00.000,0-126099016,,To construct interior alterations to an existing single house ( bathroom renovations - converting to handicapped accessible use - drive in mud shower),parcel_geocode
12728 - 135 STREET NW,ATHLONE,,53.585216133726,-113.55387769299995,yes,building,1,1,0,lift,2011-05-20T00:00:00.000,2011-05-20T00:00:00.000,1-107599479,,"To construct an addition to a Single Detached House (11.03m x 3.2m.) at the rear, with interior, including basement development & exterior alterations  (lifting existing house and adding foundation and main floor",parcel_geocode
12804 - 133 STREET NW,ATHLONE,,53.5859401480102,-113.55084921158247,yes,building,1,1,0,lift,2012-10-15T00:00:00.000,2012-10-15T00:00:00.000,1-128872261,,To construct an addition to a Single Detached House ( Lift existing house to add 1 level to make 2 storey),parcel_geocode
12831 - 66 STREET NW,BELVEDERE,,,,no,building,1,1,0,lift,2017-06-14T00:00:00.000,2017-06-14T00:00:00.000,1-223894515,,To construct interior alterations to upgrade a fire alarm and modernize the elevators - Hollyburn Tower.,none
